Id_ANAS,Regione,Codice_Strada,Nome_Strada,Cup,Descrizione,Tipo_Lavoro,Impresa,Importo_Principale,Importo_Totale,Data_Consegna_Impresa,Avanzamento_Lavori,Data_Ultimazione_Prevista,Dal_Km,Al_Km,Strade_Segmentos,Coordinate,Nome_Ufficiale_Progetto,Anno_Decisione,Provincia_CUP,Municipi_Coinvolti,Tipologia,Settore,Sottosettore,Categoria_Settore,Cup_Padre,Progetti_Collegati_CUP
50889,Puglia,SS613,SS 613 BRINDISI - LECCE,F37H16002390001,Riqualificazione dell'Itinerario Bari Brindisi Lecce - Lotto 5 Stralcio I,Lavori per nuove costruzioni.,RTI CO.EDI.SAL. - LASER - LEADRI - CO.CE.MER. - PAL STRADE - SUD SEGNA,12500484.26,27837222.85,29-07-2022,"45,70",2026-12-30,16.400,34.099,SS613 16.400–34.099,"40.438801, 18.039000",,,,,,,,,,
49202,Puglia,SS16,SS 16 ADRIATICA,F87H16002780001,Riqualificazione dell'Itinerario Bari Brindisi Lecce - Lotto 2 Stralcio II,Lavori per nuove costruzioni.,ATI ALEANDRI SPA - CIMOLAI SPA - F.LLI DE BELLIS S.R.L.,26857182.44,36789881.81,11-07-2022,"23,77",2027-08-30,836.175,848.475,SS16 836.175–848.475,,,,,,,,,,,
49200,Puglia,SS16,SS 16 ADRIATICA,F97H16001630001,Riqualificazione dell'Itinerario Bari Brindisi Lecce - Lotto 1 Stralcio II,Lavori per nuove costruzioni.,VALORI S.C.A R.L.,28466166.84,34251701.1,25-07-2022,"37,11",2027-05-21,806.700,827.500,SS16 806.700–827.500,,,,,,,,,,,
50889,Puglia,SS16,SS 16 ADRIATICA,F37H16002390001,Riqualificazione dell'Itinerario Bari Brindisi Lecce - Lotto 5 Stralcio I,Lavori per nuove costruzioni.,RTI CO.EDI.SAL. - LASER - LEADRI - CO.CE.MER. - PAL STRADE - SUD SEGNA,12500484.26,27837222.85,29-07-2022,"45,70",2026-12-30,917.450,948.520,SS16 917.450–948.520,"40.438801, 18.039000",,,,,,,,,,
25830,Calabria,SS106,SS 106 JONICA,F51B01000100001,LAVORI DI COSTRUZIONE DELLA VARIANTE  ALL'ABITATO DI PALIZZI MARINA LOTTO 2 DAL KM 49+485 AL KM 51+750 (ex UC9) SECONDO STRALCIO FUNZIONALE Completamento Carreggiata SUD.,Lavori per nuove costruzioni.,RTI ICM - DE SANCTIS - HYPRO,78153628.7,94108159.95,23-11-2021,"67,58",2027-05-05,49.485,51.750,SS106 49.485–51.750,,,,,,,,,,,
93169,Calabria,SS106,SS 106 JONICA,F41B23000060001,S.S. N. 106 stralcio 1° tratto Crotone Cutro. Lotto 1 - Da Cutro (km 0+000) a Papanice (km 9+000) svincolo Escluso,Lavori per nuove costruzioni.,INC SPA,289537286.63,314042277.48,01-09-2025,"1,20",,0.000,9.000,SS106 0.000–9.000,,,,,,,,,,,
93170,Calabria,SS106,SS 106 JONICA,F81B23000020001,S.S. N. 106 stralcio 2°tratto Cutro Catanzaro. Lotto 1 da Catanzaro (km 0+000) a Sv. Uria compreso (km 7+500 circa),Lavori per nuove costruzioni.,CONSORZIO JONIUM,424646306.54,467354731.94,20-10-2025,"0,98",,0.000,7.500,SS106 0.000–7.500,,,,,,,,,,,
93171,Calabria,SS106,SS 106 JONICA,F31B23000020001,S.S. N. 106 stralcio 2°tratto Cutro Catanzaro. Lotto 2 da Sv. Uria escluso (km 7+500 ca) a Sv. Cropani incluso (km 15+000 ca),Lavori per nuove costruzioni.,RTI DE SANCTIS-IRCOP-MONACO-SPOSATO GIULIANO,366044227.54,399966716.07,03-10-2025,"0,97",,7.500,15.000,SS106 7.500–15.000,,,,,,,,,,,
93172,Calabria,SS106,SS 106 JONICA,F11B23000040001,S.S. N. 106 stralcio 2°tratto Cutro Catanzaro. o Lotto 3 da Sv. Cropani escluso (km 15+000 ca) a Sv. Marcedusa incluso (km 25+000 ca),Lavori per nuove costruzioni.,COSEDIL-SALC,339294564.9,373632199.88,13-10-2025,"1,02",,15.000,25.000,SS106 15.000–25.000,,,,,,,,,,,
93190,Calabria,SS106,SS 106 JONICA,F91B23000030001,S.S. N. 106 stralcio 2°tratto Cutro Catanzaro. Lotto 4 da Sv. Marcedusa escluso (km 25+000 ca) a Sv. Petilino incluso (km 35+000 ca),Lavori per nuove costruzioni.,MEDIL-CMC-COMES-MURANO,318530339.96,350577375.71,20-08-2025,"1,48",,25.000,35.000,SS106 25.000–35.000,,,,,,,,,,,
10844,Calabria,SS106,SS 106 JONICA,F41B07000300001,"Interventi di messa in sicurezza della SS 106 Jonica tra i Km 219+000 e 278+000, con particolare riferimento agli svincoli di Curto, Le Castella, Crotone, Torre Melissa, Cirò, Cirò Marina, Crucoli, Cariati, Mandatoriccio, Mirto Crosia, Rossano, Crotone Aeroporto - Stralcio 2 Parte A svincoli di Crotone Aeroporto, Gabella, Nuovo Cirò Marina, La Marinella, Mandatoriccio, Calopezzati, Zolfatara e Innesto Aranceto.",Lavori per nuove costruzioni.,A.T.I.  COOP. COSTRUZIONI SOC. COOP SAMMARCO COSTRUZIONI GENERALI S.R.L. – CALGECO S.R.L.,14973093.85,24323152.81,28-07-2014,"95,52",2026-06-30,219.000,278.000,SS106 219.000–278.000,,,,,,,,,,,
10569,Calabria,SS106,SS 106 JONICA,F61B14000220001,S.S. N. 182 Trasversale delle Serre _ Tronco 5° - Lotto 3°bis - Bretella per Petrizzi - Riappalto a seguito rescissione contrattuale.,Lavori per nuove costruzioni.,CONSORZIO STABILE MEDIL SOCIETA' CONSORTILE PER AZIONI,23532434.2,27630928.67,19-08-2024,"17,86",2027-02-08,0.000,0.000,SS106 0.000–0.000,"38.701000, 16.472000",,,,,,,,,,
13488,Calabria,SS106,SS 106 JONICA,F92C05000080011,Megalotto 3 - dall'innesto sulla SS 534 (Sibari) a Roseto Capo Spulico.,Lavori per nuove costruzioni.,SIRJO SOCIETA CONSORTILE PER AZIONI,993708785.88,1242809325.08,19-05-2020,"79,69",2027-05-18,365.150,400.000,SS106 365.150–400.000,,,,,,,,,,,
93571,Calabria,SS182,SS 182 DELLE SERRE CALABRE,F81B23000330001,S.S. 182 Trasversale delle Serre - Lavori di costruzione del Tronco 5° Lotto 4° e Lotto 5° - dallo svincolo di Gagliato allo svincolo di Soverato,Lavori per nuove costruzioni.,RTI SPOSATO - CASTALDO - SINERGICA,117333898.14,149712312.25,16-07-2025,"1,33",2026-07-15,0.000,5.318,SS182 0.000–5.318,,,,,,,,,,,
86006,Calabria,SS280,SS 280 DEI DUE MARI,F67H22001190001,"Lavori di risanamento strutturale, impermeabilizzazione e consolidamento locale della galleria Sansinato in direzione Catanzaro al km 28+880 della SS 280 ""dei due mari""",Lavori di manutenzione programmata.,VALORI S.C.A R.L.,11988915.39,12130795.39,30-07-2024,"87,98",2026-03-21,28.000,30.000,SS280 28.000–30.000,,,,,,,,,,,
30444,Molise,SS17,SS 17 DELL`APPENNINO ABRUZZESE ED APPULO SANNITICO,F91B16000560001,"S.S. 17 ""dell'Appennino Abruzzese ed Appulo-Sannitico"" - Lavori di realizzazione del ""Lotto 0"" di collegamento tra il bivio di Pesche (IS) al km 181+500 della S.S. 17 ed il ""Lotto 1"" della S.S.V. ""Isernia-Castel di Sangro""",Lavori per nuove costruzioni.,VIANINI LAVORI SPA,134178919.45,148353255.91,12-12-2023,"10,69",2027-07-12,181.000,182.000,SS17 181.000–182.000,,,,,,,,,,,
21386,Campania,SS212,SS 212 DELLA VAL FORTORE,F11B14000910001,S.S. 212 “della Val Fortore” Lavori di completamento alla statale dallo svincolo di S. Marco dei Cavoti a S. Bartolomeo in Galdo (Asse S.S. Fortorina). 1° lotto: «Variante di S. Marco dei Cavoti». 2° Stralcio,Lavori per nuove costruzioni.,ATI RILLO COSTR.-TECNOCOSTRUZIONI- BARONE COSTRUZ.-CONSORZIO INFRATECH,38955364.79,57170635.59,21-04-2020,"87,25",2026-06-30,0.000,0.000,SS212 0.000–0.000,"41.318359, 14.878250",,,,,,,,,,
